REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2038,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2038,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2039,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2039,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2039,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2039,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2040,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2040,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2040,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2040,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2041,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2041,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2041,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2041,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2042,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2042,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2042,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2042,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2043,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2043,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2043,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2043,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2044,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2044,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2044,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2044,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2045,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2045,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2045,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2045,S2D1,184.35268
