REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCTZAXX02,S3D1,2044,0.11
GLOBAL,ELCTZAXX02,S3D1,2045,0.11
GLOBAL,ELCTZAXX02,S3D1,2046,0.11
GLOBAL,ELCTZAXX02,S3D1,2047,0.11
GLOBAL,ELCTZAXX02,S3D1,2048,0.11
GLOBAL,ELCTZAXX02,S3D1,2049,0.11
GLOBAL,ELCTZAXX02,S3D1,2050,0.11
GLOBAL,ELCKENXX02,S3D2,2021,0.13
GLOBAL,ELCKENXX02,S3D2,2022,0.13
GLOBAL,ELCKENXX02,S3D2,2023,0.13
GLOBAL,ELCKENXX02,S3D2,2024,0.13
GLOBAL,ELCKENXX02,S3D2,2025,0.13
GLOBAL,ELCKENXX02,S3D2,2026,0.13
GLOBAL,ELCKENXX02,S3D2,2027,0.13
GLOBAL,ELCKENXX02,S3D2,2028,0.13
GLOBAL,ELCKENXX02,S3D2,2029,0.13
GLOBAL,ELCKENXX02,S3D2,2030,0.13
GLOBAL,ELCKENXX02,S3D2,2031,0.13
GLOBAL,ELCKENXX02,S3D2,2032,0.13
GLOBAL,ELCKENXX02,S3D2,2033,0.13
GLOBAL,ELCKENXX02,S3D2,2034,0.13
GLOBAL,ELCKENXX02,S3D2,2035,0.13
GLOBAL,ELCKENXX02,S3D2,2036,0.13
GLOBAL,ELCKENXX02,S3D2,2037,0.13
GLOBAL,ELCKENXX02,S3D2,2038,0.13
GLOBAL,ELCKENXX02,S3D2,2039,0.13
GLOBAL,ELCKENXX02,S3D2,2040,0.13
GLOBAL,ELCKENXX02,S3D2,2041,0.13
GLOBAL,ELCKENXX02,S3D2,2042,0.13
GLOBAL,ELCKENXX02,S3D2,2043,0.13
GLOBAL,ELCKENXX02,S3D2,2044,0.13
GLOBAL,ELCKENXX02,S3D2,2045,0.13
GLOBAL,ELCKENXX02,S3D2,2046,0.13
GLOBAL,ELCKENXX02,S3D2,2047,0.13
GLOBAL,ELCKENXX02,S3D2,2048,0.13
GLOBAL,ELCKENXX02,S3D2,2049,0.13
GLOBAL,ELCKENXX02,S3D2,2050,0.13
GLOBAL,ELCTZAXX02,S3D2,2021,0.13
GLOBAL,ELCTZAXX02,S3D2,2022,0.13
GLOBAL,ELCTZAXX02,S3D2,2023,0.13
GLOBAL,ELCTZAXX02,S3D2,2024,0.13
GLOBAL,ELCTZAXX02,S3D2,2025,0.13
GLOBAL,ELCTZAXX02,S3D2,2026,0.13
GLOBAL,ELCTZAXX02,S3D2,2027,0.13
GLOBAL,ELCTZAXX02,S3D2,2028,0.13
GLOBAL,ELCTZAXX02,S3D2,2029,0.13
GLOBAL,ELCTZAXX02,S3D2,2030,0.13
GLOBAL,ELCTZAXX02,S3D2,2031,0.13
GLOBAL,ELCTZAXX02,S3D2,2032,0.13
GLOBAL,ELCTZAXX02,S3D2,2033,0.13
GLOBAL,ELCTZAXX02,S3D2,2034,0.13
GLOBAL,ELCTZAXX02,S3D2,2035,0.13
GLOBAL,ELCTZAXX02,S3D2,2036,0.13
GLOBAL,ELCTZAXX02,S3D2,2037,0.13
GLOBAL,ELCTZAXX02,S3D2,2038,0.13
GLOBAL,ELCTZAXX02,S3D2,2039,0.13
GLOBAL,ELCTZAXX02,S3D2,2040,0.13
GLOBAL,ELCTZAXX02,S3D2,2041,0.13
GLOBAL,ELCTZAXX02,S3D2,2042,0.13
GLOBAL,ELCTZAXX02,S3D2,2043,0.13
GLOBAL,ELCTZAXX02,S3D2,2044,0.13
GLOBAL,ELCTZAXX02,S3D2,2045,0.13
GLOBAL,ELCTZAXX02,S3D2,2046,0.13
GLOBAL,ELCTZAXX02,S3D2,2047,0.13
GLOBAL,ELCTZAXX02,S3D2,2048,0.13
GLOBAL,ELCTZAXX02,S3D2,2049,0.13
GLOBAL,ELCTZAXX02,S3D2,2050,0.13
GLOBAL,ELCKENXX02,S3D3,2021,0.1
GLOBAL,ELCKENXX02,S3D3,2022,0.1
GLOBAL,ELCKENXX02,S3D3,2023,0.1
GLOBAL,ELCKENXX02,S3D3,2024,0.1
GLOBAL,ELCKENXX02,S3D3,2025,0.1
