REGION,TECHNOLOGY,VALUE
GLOBAL,PWRPETMWIXX01,30.0
GLOBAL,PWROCGCHNCH01,30.0
GLOBAL,PWRGEOINDSO01,30.0
GLOBAL,PWRSPVNPLXX01,30.0
GLOBAL,PWRPETMNGXX01,30.0
GLOBAL,PWROCGKENXX01,30.0
GLOBAL,PWROCGCHNEM00,30.0
GLOBAL,PWRCSPAGOXX01,30.0
GLOBAL,PWRURNPRTXX01,60.0
GLOBAL,PWRWOFITAXX01,30.0
GLOBAL,PWROCGCANAB00,30.0
GLOBAL,PWRWONKGZXX01,30.0
GLOBAL,PWRWONBOLXX01,30.0
GLOBAL,PWRCCGTLSXX00,30.0
GLOBAL,PWROILLBRXX01,30.0
GLOBAL,PWROCGCHNSC01,30.0
GLOBAL,PWRCOASURXX01,30.0
GLOBAL,PWROILEGYXX01,30.0
GLOBAL,PWRWAVMMRXX01,20.0
GLOBAL,PWRCOGIRQXX01,30.0
GLOBAL,PWRCOABELXX01,30.0
GLOBAL,PWROCGMARXX01,30.0
GLOBAL,PWRGEOMDGXX01,30.0
GLOBAL,PWROCGIRQXX01,30.0
GLOBAL,PWRPETUSASC01,30.0
GLOBAL,PWRCCGCHNZH01,30.0
GLOBAL,PWRCSPUSAFR01,30.0
GLOBAL,PWRCCGNZLXX00,30.0
GLOBAL,PWRBIOGTMXX01,30.0
GLOBAL,PWRBIOKWTXX01,30.0
GLOBAL,PWRURNSRBXX01,60.0
GLOBAL,PWROCGCHNHE01,30.0
GLOBAL,PWROCGMMRXX01,30.0
GLOBAL,PWRWAVUSASE01,20.0
GLOBAL,PWRCCGPRKXX01,30.0
GLOBAL,PWRCOAFJIXX01,30.0
GLOBAL,PWROCGAGOXX00,30.0
GLOBAL,PWRCSPTJKXX01,30.0
GLOBAL,PWRCOAHUNXX01,30.0
GLOBAL,PWRWAVCHNHE01,20.0
GLOBAL,PWRHYDBGRXX01,100.0
GLOBAL,PWROCGBGRXX01,30.0
GLOBAL,PWRWONGUFXX01,30.0
GLOBAL,PWRCCGNERXX01,30.0
GLOBAL,PWRHYDESHXX01,100.0
GLOBAL,PWRPETCHNHE01,30.0
GLOBAL,PWROTHLKAXX01,30.0
GLOBAL,PWRPETISRXX01,30.0
GLOBAL,PWRCSPFINXX01,30.0
GLOBAL,PWRGEOBRASE01,30.0
GLOBAL,PWROTHUSAGU01,30.0
GLOBAL,PWRWASGINXX01,30.0
GLOBAL,PWRWAVESTXX01,20.0
GLOBAL,PWRCCSSENXX01,30.0
GLOBAL,PWROCGNGAXX00,30.0
GLOBAL,PWROTHSLEXX01,30.0
GLOBAL,PWROCGJPNTO01,30.0
GLOBAL,PWRWAVCAFXX01,20.0
GLOBAL,PWRCOGCUBXX01,30.0
GLOBAL,PWROILUSANY01,30.0
GLOBAL,PWRCOGRUSMV01,30.0
GLOBAL,PWRWASVENXX01,30.0
GLOBAL,PWROCGECUXX00,30.0
GLOBAL,PWRCCGSVKXX00,30.0
GLOBAL,PWRCOACHNMA01,30.0
GLOBAL,PWROTHUSASS01,30.0
GLOBAL,PWRWAVAUSSA01,20.0
GLOBAL,PWRCCGGINXX01,30.0
GLOBAL,PWRSPVUSASN01,30.0
GLOBAL,PWROCGBENXX01,30.0
GLOBAL,PWROTHPNGXX01,30.0
GLOBAL,PWRBIOSYRXX01,30.0
GLOBAL,PWRSPVBOLXX01,30.0
GLOBAL,PWRWOFPHLXX01,30.0
GLOBAL,PWRSPVAUSVI01,30.0
GLOBAL,PWRCCSCHNGA01,30.0
GLOBAL,PWROCGRUSUR00,30.0
GLOBAL,PWRWAVBIHXX01,20.0
GLOBAL,PWRWONHTIXX01,30.0
GLOBAL,PWRGEOBRANW01,30.0
GLOBAL,PWRCSPMEXXX01,30.0
GLOBAL,PWRHYDBOLXX01,100.0
GLOBAL,PWRGEOLVAXX01,30.0
GLOBAL,PWRWOFMARXX01,30.0
GLOBAL,PWRWASTHAXX01,30.0
GLOBAL,PWRCOGUSAHA01,30.0
GLOBAL,PWRBIOCHNGD01,30.0
GLOBAL,PWROCGARMXX00,30.0
GLOBAL,PWROCGROUXX01,30.0
GLOBAL,PWRURNHTIXX01,60.0
GLOBAL,PWRGEOALBXX01,30.0
GLOBAL,PWROILTUNXX01,30.0
GLOBAL,PWRURNRUSUR01,60.0
GLOBAL,PWRCOABLRXX01,30.0
GLOBAL,PWRWAVIRQXX01,20.0
GLOBAL,PWRWONBRAWE01,30.0
GLOBAL,PWRPETCHNZH01,30.0
GLOBAL,PWROCGETHXX01,30.0
GLOBAL,PWRGEOUSAME01,30.0
GLOBAL,PWRPETGBRXX01,30.0
GLOBAL,PWRCSPGTMXX01,30.0
GLOBAL,PWROILUSANW01,30.0
GLOBAL,PWRGEOBLRXX01,30.0
GLOBAL,PWRCOAGHAXX01,30.0
GLOBAL,PWRURNUSAPR01,60.0
GLOBAL,PWROCGRWAXX01,30.0
GLOBAL,PWRPETPERXX01,30.0
GLOBAL,PWROILAREXX01,30.0
GLOBAL,PWRGEOCHNNI01,30.0
GLOBAL,PWROCGIRLXX01,30.0
GLOBAL,PWRPETIRNXX01,30.0
GLOBAL,PWROTHCHNAN01,30.0
GLOBAL,PWROCGGNBXX00,30.0
GLOBAL,PWROTHINDNE01,30.0
GLOBAL,PWRURNBIHXX01,60.0
GLOBAL,PWRGEOUSANW01,30.0
GLOBAL,PWRSPVCANBC01,30.0
GLOBAL,PWRCOGSDNXX01,30.0
GLOBAL,PWRWASJPNKY01,30.0
GLOBAL,PWRCCSKHMXX01,30.0
GLOBAL,PWROCGBRANE01,30.0
GLOBAL,PWRCOGDOMXX01,30.0
GLOBAL,PWRBIOBIHXX01,30.0
GLOBAL,PWROCGTZAXX01,30.0
GLOBAL,PWRCSPKHMXX01,30.0
GLOBAL,PWRSPVCHNHA01,30.0
GLOBAL,PWRSPVCYPXX01,30.0
GLOBAL,PWRWASCHNSX01,30.0
GLOBAL,PWRWASCAFXX01,30.0
GLOBAL,PWRGEOARGXX01,30.0
GLOBAL,PWRWASYEMXX01,30.0
GLOBAL,PWRWAVBENXX01,20.0
GLOBAL,PWRCCGTLSXX01,30.0
GLOBAL,PWRCOAIDNXX01,30.0
GLOBAL,PWRBIOCANBC01,30.0
GLOBAL,PWRWASCANBC01,30.0
GLOBAL,PWRCCSBRANE01,30.0
GLOBAL,PWRSPVAUTXX01,30.0
GLOBAL,PWROTHTKMXX01,30.0
GLOBAL,PWRCOACYPXX01,30.0
GLOBAL,PWRCOASENXX01,30.0
GLOBAL,PWRWONCPVXX01,30.0
GLOBAL,PWRWONOMNXX01,30.0
GLOBAL,PWRHYDKWTXX01,100.0
GLOBAL,PWRPETKWTXX01,30.0
GLOBAL,PWRCCGAUSQL01,30.0
GLOBAL,PWROCGSLEXX01,30.0
GLOBAL,PWROILBLRXX01,30.0
GLOBAL,PWRWOFLVAXX01,30.0
GLOBAL,PWRCOGAUTXX01,30.0
GLOBAL,PWROCGBELXX01,30.0
GLOBAL,PWRPETCANMB01,30.0
GLOBAL,PWRURNKOSXX01,60.0
GLOBAL,PWROCGGUYXX01,30.0
GLOBAL,PWRWOFBOLXX01,30.0
GLOBAL,PWRWONCHNSI01,30.0
GLOBAL,PWRCOATGOXX01,30.0
GLOBAL,PWROCGHRVXX00,30.0
GLOBAL,PWRWASIRLXX01,30.0
GLOBAL,PWRHYDLBNXX01,100.0
GLOBAL,PWROCGLSOXX01,30.0
GLOBAL,PWRCCSCHNEM01,30.0
GLOBAL,PWRGEOTCDXX01,30.0
GLOBAL,PWRSPVESPXX01,30.0
GLOBAL,PWRWONBRAJ101,30.0
GLOBAL,PWRBIOBRACW01,30.0
GLOBAL,PWROCGNGAXX01,30.0
GLOBAL,PWRCCSRUSCE01,30.0
GLOBAL,PWRGEOLUXXX01,30.0
GLOBAL,PWRCCGUSANE00,30.0
GLOBAL,PWROCGCYPXX01,30.0
GLOBAL,PWRHYDTKMXX01,100.0
GLOBAL,PWRWAVBRACN01,20.0
GLOBAL,PWRCOAGUYXX01,30.0
GLOBAL,PWRWASJPNOK01,30.0
GLOBAL,PWRWASGMBXX01,30.0
GLOBAL,PWRURNJPNTO01,60.0
GLOBAL,PWRURNFJIXX01,60.0
GLOBAL,PWROCGCHNHA00,30.0
GLOBAL,PWROILPNGXX01,30.0
GLOBAL,PWRCSPCHNSI01,30.0
GLOBAL,PWROTHGRCXX01,30.0
GLOBAL,PWRCCGBENXX00,30.0
GLOBAL,PWRSPVCHNHN01,30.0
GLOBAL,PWRPETAREXX01,30.0
GLOBAL,PWROCGAUSSA01,30.0
GLOBAL,PWRGEOCHNHB01,30.0
GLOBAL,PWRURNTLSXX01,60.0
GLOBAL,PWROILMARXX01,30.0
GLOBAL,PWRURNGABXX01,60.0
GLOBAL,PWROCGKHMXX00,30.0
GLOBAL,PWRWAVAUTXX01,20.0
GLOBAL,PWRCCGBRAJ300,30.0
GLOBAL,PWRCCSHTIXX01,30.0
GLOBAL,PWRBIOVNMXX01,30.0
GLOBAL,PWRWONESTXX01,30.0
GLOBAL,PWRWASFRAXX01,30.0
GLOBAL,PWROILLBYXX01,30.0
GLOBAL,PWROILCHNJS01,30.0
GLOBAL,PWROCGJPNOK00,30.0
GLOBAL,PWRCCSTURXX01,30.0
GLOBAL,PWRGEOCHNJX01,30.0
GLOBAL,PWRCOABFAXX01,30.0
GLOBAL,PWRWAVUSARW01,20.0
GLOBAL,PWRCCGCHNZH00,30.0
GLOBAL,PWROTHMWIXX01,30.0
GLOBAL,PWRHYDTCDXX01,100.0
GLOBAL,PWRPETBGDXX01,30.0
GLOBAL,PWRWOFLSOXX01,30.0
GLOBAL,PWRURNCHNYU01,60.0
GLOBAL,PWRWAVCANMB01,20.0
GLOBAL,PWRWASITAXX01,30.0
GLOBAL,PWRSPVNICXX01,30.0
GLOBAL,PWRBIOHTIXX01,30.0
GLOBAL,PWRWASMMRXX01,30.0
GLOBAL,PWROCGCAFXX01,30.0
GLOBAL,PWRPETMDAXX01,30.0
GLOBAL,PWRCOACIVXX01,30.0
GLOBAL,PWRGEOUSAPR01,30.0
GLOBAL,PWRWONCHEXX01,30.0
GLOBAL,PWROILMMRXX01,30.0
GLOBAL,PWROCGPNGXX01,30.0
GLOBAL,PWRCCSUKRXX01,30.0
GLOBAL,PWRWAVNORXX01,20.0
GLOBAL,PWRCCGCHNFU01,30.0
GLOBAL,PWRURNPRYXX01,60.0
GLOBAL,PWRPETTGOXX01,30.0
GLOBAL,PWRCOGAGOXX01,30.0
GLOBAL,PWRCOACANMB01,30.0
GLOBAL,PWRCOGLAOXX01,30.0
GLOBAL,PWRWAVNAMXX01,20.0
GLOBAL,PWRCCGBFAXX01,30.0
GLOBAL,PWRWONUSAAK01,30.0
GLOBAL,PWRWONAUSVI01,30.0
GLOBAL,PWRCCGGEOXX00,30.0
GLOBAL,PWROCGAUSSA00,30.0
GLOBAL,PWRWOFBFAXX01,30.0
GLOBAL,PWRURNBRAJ201,60.0
GLOBAL,PWROCGCANAB01,30.0
GLOBAL,PWRWAVMWIXX01,20.0
GLOBAL,PWRCOACRIXX01,30.0
GLOBAL,PWRPETBTNXX01,30.0
GLOBAL,PWRCCSHNDXX01,30.0
GLOBAL,PWRWOFLBNXX01,30.0
GLOBAL,PWROCGNORXX01,30.0
GLOBAL,PWROILUSASC01,30.0
GLOBAL,PWROCGPERXX00,30.0
GLOBAL,PWRCCGMLTXX00,30.0
GLOBAL,PWRCOGUSAME01,30.0
GLOBAL,PWRCOGJPNTO01,30.0
GLOBAL,PWRCSPLBNXX01,30.0
GLOBAL,PWRWAVCHNQI01,20.0
GLOBAL,PWRWOFINDNE01,30.0
GLOBAL,PWRBIOECUXX01,30.0
GLOBAL,PWRGEOSYRXX01,30.0
GLOBAL,PWRHYDECUXX01,100.0
GLOBAL,PWRCOAJPNTO01,30.0
GLOBAL,PWRWASCANMB01,30.0
GLOBAL,PWRHYDBRAJ101,100.0
GLOBAL,PWROILINDNO01,30.0
GLOBAL,PWROCGRUSSI01,30.0
GLOBAL,PWROCGCHNCH00,30.0
GLOBAL,PWRPETMNEXX01,30.0
GLOBAL,PWRWASMKDXX01,30.0
GLOBAL,PWROILGEOXX01,30.0
GLOBAL,PWRWONIRNXX01,30.0
GLOBAL,PWRGEOPRYXX01,30.0
GLOBAL,PWRCCSUSARW01,30.0
GLOBAL,PWRCCSPERXX01,30.0
GLOBAL,PWRCOACAFXX01,30.0
GLOBAL,PWRCSPIDNXX01,30.0
GLOBAL,PWRURNFRAXX01,60.0
GLOBAL,PWRPETMMRXX01,30.0
GLOBAL,PWRWAVUSACA01,20.0
GLOBAL,PWRBIOPNGXX01,30.0
GLOBAL,PWRCSPYEMXX01,30.0
GLOBAL,PWRURNAFGXX01,60.0
GLOBAL,PWRPETMLTXX01,30.0
GLOBAL,PWRCOADNKXX01,30.0
GLOBAL,PWRHYDGNQXX01,100.0
GLOBAL,PWROILBIHXX01,30.0
GLOBAL,PWRHYDPERXX01,100.0
GLOBAL,PWROCGBRASO00,30.0
GLOBAL,PWROILPRTXX01,30.0
GLOBAL,PWROCGAZEXX01,30.0
GLOBAL,PWRSPVLUXXX01,30.0
GLOBAL,PWRWOFATAXX01,30.0
GLOBAL,PWROCGCHNYU01,30.0
GLOBAL,PWROTHUSAME01,30.0
GLOBAL,PWRWASHUNXX01,30.0
GLOBAL,PWRSPVCHNHB01,30.0
GLOBAL,PWRGEOJPNKY01,30.0
GLOBAL,PWRWOFCHNTJ01,30.0
GLOBAL,PWROCGLAOXX00,30.0
GLOBAL,PWROTHUSASC01,30.0
GLOBAL,PWRBIONICXX01,30.0
GLOBAL,PWRCSPRUSSI01,30.0
GLOBAL,PWRWONDEUXX01,30.0
GLOBAL,PWRWOFERIXX01,30.0
GLOBAL,PWROILCHNGA01,30.0
GLOBAL,PWRCCGPRTXX01,30.0
GLOBAL,PWRWOFCHNYU01,30.0
GLOBAL,PWROCGIRQXX00,30.0
GLOBAL,PWRWASGHAXX01,30.0
GLOBAL,PWROCGTWNXX00,30.0
GLOBAL,PWRCCGINDWE01,30.0
GLOBAL,PWRWAVUKRXX01,20.0
GLOBAL,PWRHYDJPNOK01,100.0
GLOBAL,PWRCCSBRAJ101,30.0
GLOBAL,PWRPETISLXX01,30.0
GLOBAL,PWROCGERIXX00,30.0
GLOBAL,PWROILSYRXX01,30.0
GLOBAL,PWROCGNLDXX00,30.0
GLOBAL,PWRCOAAUSTA01,30.0
GLOBAL,PWRBIOBRAJ101,30.0
GLOBAL,PWRHYDSAUXX01,100.0
GLOBAL,PWRBIODNKXX01,30.0
GLOBAL,PWRCCGLBNXX00,30.0
GLOBAL,PWROCGUSARE01,30.0
GLOBAL,PWRCCGBGDXX01,30.0
GLOBAL,PWRHYDMOZXX01,100.0
GLOBAL,PWRSPVAREXX01,30.0
GLOBAL,PWRURNTKMXX01,60.0
GLOBAL,PWRCCSNORXX01,30.0
GLOBAL,PWRCOAUSASE01,30.0
GLOBAL,PWROCGBWAXX00,30.0
GLOBAL,PWRCSPLBYXX01,30.0
GLOBAL,PWROCGCANBC00,30.0
GLOBAL,PWROTHTUNXX01,30.0
GLOBAL,PWRGEOESPXX01,30.0
GLOBAL,PWRWASNAMXX01,30.0
GLOBAL,PWRCSPINDNO01,30.0
GLOBAL,PWROCGBFAXX00,30.0
GLOBAL,PWROTHINDNO01,30.0
GLOBAL,PWROCGBRNXX01,30.0
GLOBAL,PWRGEOPOLXX01,30.0
GLOBAL,PWRCCGAGOXX01,30.0
GLOBAL,PWRCOGSAUXX01,30.0
GLOBAL,PWRCOGGNBXX01,30.0
GLOBAL,PWRCSPUSAHA01,30.0
GLOBAL,PWRURNBRACW01,60.0
GLOBAL,PWRCSPCHNSC01,30.0
GLOBAL,PWRCCGMWIXX00,30.0
GLOBAL,PWRSPVJPNKY01,30.0
