REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2026,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2027,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2028,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2029,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2030,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2031,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2032,11.180802176574499
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2033,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2034,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2035,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2036,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2037,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2038,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2039,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2040,11.180802176574499
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2041,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2042,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2043,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2044,11.180802176574499
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2045,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2046,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2047,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2048,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2049,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2050,11.180802176574499
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2021,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2022,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2023,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2024,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2025,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2026,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2027,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2028,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2029,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2030,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2031,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2032,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2033,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2034,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2035,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2036,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2037,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2038,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2039,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2040,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2041,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2042,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2043,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2044,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2045,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2046,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2047,7.465086706125307
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2048,7.46508670612531
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2049,7.465086706125304
GLOBAL,PWRHYDTZAXX01,ELCTZAXX01,2050,7.465086706125311
GLOBAL,PWROCGKENXX01,ELCKENXX01,2024,0.07359983176268656
GLOBAL,PWROCGKENXX01,ELCKENXX01,2025,0.32301652176691314
GLOBAL,PWROCGKENXX01,ELCKENXX01,2026,0.312336187038523
GLOBAL,PWROCGKENXX01,ELCKENXX01,2027,0.34742743160518724
GLOBAL,PWROCGKENXX01,ELCKENXX01,2028,0.382953401948356
GLOBAL,PWROCGKENXX01,ELCKENXX01,2029,0.41887926943040676
GLOBAL,PWROCGKENXX01,ELCKENXX01,2030,0.45472100139141997
GLOBAL,PWROCGKENXX01,ELCKENXX01,2031,0.4959474066986908
GLOBAL,PWROCGKENXX01,ELCKENXX01,2032,0.6556041322011179
GLOBAL,PWROCGKENXX01,ELCKENXX01,2033,0.6832559879222027
GLOBAL,PWROCGKENXX01,ELCKENXX01,2034,0.711716242058234
GLOBAL,PWROCGKENXX01,ELCKENXX01,2035,0.751743656067692
GLOBAL,PWROCGKENXX01,ELCKENXX01,2036,0.798142780878658
GLOBAL,PWROCGKENXX01,ELCKENXX01,2037,0.8454163928542702
GLOBAL,PWROCGKENXX01,ELCKENXX01,2038,0.8929293439593478
GLOBAL,PWROCGKENXX01,ELCKENXX01,2039,0.940358645502619
GLOBAL,PWROCGKENXX01,ELCKENXX01,2040,0.9878715966076985
GLOBAL,PWROCGKENXX01,ELCKENXX01,2041,1.0468445376800208
GLOBAL,PWROCGKENXX01,ELCKENXX01,2042,1.105733829190541
GLOBAL,PWROCGKENXX01,ELCKENXX01,2043,1.1647067702628637
GLOBAL,PWROCGKENXX01,ELCKENXX01,2044,1.2236797113351903
GLOBAL,PWROCGKENXX01,ELCKENXX01,2045,1.2031055490481837
GLOBAL,PWROCGKENXX01,ELCKENXX01,2046,1.2774813496433417
GLOBAL,PWROCGKENXX01,ELCKENXX01,2047,1.3519412857595352
GLOBAL,PWROCGKENXX01,ELCKENXX01,2048,1.447017260742843
GLOBAL,PWROCGKENXX01,ELCKENXX01,2049,1.5213930613379991
GLOBAL,PWROCGKENXX01,ELCKENXX01,2050,1.5957688619331538
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2022,0.044675292581509485
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2023,0.057821660699556084
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2024,0.5647402761598822
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2025,0.2201941691251314
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2026,0.189799393781628
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2027,0.2031123941442564
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2028,0.21601271181213608
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2029,0.21595285056397648
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2030,0.20324373669822732
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2031,0.18839841152657802
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2032,0.20218140207711519
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2033,0.20688958713049507
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2034,0.2116558013058812
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2035,0.2170612478445873
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2036,0.19835810849358682
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2037,0.1806139075819692
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2038,0.16299370822193102
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2039,0.14539459595776374
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2040,0.12777439659772427
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2041,0.1106629776
GLOBAL,PWROCGTZAXX00,ELCTZAXX01,2042,0.1106629776
GLOBAL,PWROCGTZAXX01,ELCTZAXX01,2041,0.004382608293048485
GLOBAL,PWROCGTZAXX01,ELCTZAXX01,2042,0.02570349927173932
GLOBAL,PWROCGTZAXX01,ELCTZAXX01,2043,0.15770826733868737
GLOBAL,PWROCGTZAXX01,ELCTZAXX01,2044,0.17905628556364175
GLOBAL,PWROCGTZAXX01,ELCTZAXX01,2045,0.27861695861239344
GLOBAL,PWROCGTZAXX01,ELCTZAXX01,2046,0.30488010397741006
GLOBAL,PWROCGTZAXX01,ELCTZAXX01,2047,0.3311636805506444
GLOBAL,PWROCGTZAXX01,ELCTZAXX01,2048,0.37253115572727946
GLOBAL,PWROCGTZAXX01,ELCTZAXX01,2049,0.398788073334289
GLOBAL,PWROCGTZAXX01,ELCTZAXX01,2050,0.42505121869930335
GLOBAL,PWROILKENXX01,ELCKENXX01,2021,0.21505891770619312
GLOBAL,PWROILKENXX01,ELCKENXX01,2022,0.27434111212778733
GLOBAL,PWROILKENXX01,ELCKENXX01,2023,0.1764670803163221
GLOBAL,PWROILKENXX01,ELCKENXX01,2024,0.1918656553734149
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2021,1.09145790163872
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2022,1.5875751296563199
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2023,1.6326265387109837
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2024,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2025,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2026,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2027,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2028,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2029,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2030,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2031,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2032,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2033,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2034,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2035,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2036,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2037,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2038,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2039,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2040,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2041,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2042,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2043,1.83563374366512
GLOBAL,PWRSPVKENXX01,ELCKENXX01,2044,1.83563374366512
GLOBAL,PWRTRNKENXX,ELCKENXX02,2021,46.06637863638578
GLOBAL,PWRTRNKENXX,ELCKENXX02,2022,48.06415380324795
GLOBAL,PWRTRNKENXX,ELCKENXX02,2023,47.53540406203521
GLOBAL,PWRTRNKENXX,ELCKENXX02,2024,49.1824843379311
GLOBAL,PWRTRNKENXX,ELCKENXX02,2025,50.663773059893735
GLOBAL,PWRTRNKENXX,ELCKENXX02,2026,54.895380829485404
GLOBAL,PWRTRNKENXX,ELCKENXX02,2027,59.172760178372116
GLOBAL,PWRTRNKENXX,ELCKENXX02,2028,63.44926617332005
GLOBAL,PWRTRNKENXX,ELCKENXX02,2029,67.73517506791175
GLOBAL,PWRTRNKENXX,ELCKENXX02,2030,72.0110467051391
GLOBAL,PWRTRNKENXX,ELCKENXX02,2031,76.92930281368696
GLOBAL,PWRTRNKENXX,ELCKENXX02,2032,81.69126611525084
GLOBAL,PWRTRNKENXX,ELCKENXX02,2033,86.61062591539681
GLOBAL,PWRTRNKENXX,ELCKENXX02,2034,91.5296840941765
GLOBAL,PWRTRNKENXX,ELCKENXX02,2035,96.45034894825804
GLOBAL,PWRTRNKENXX,ELCKENXX02,2036,102.15430330972399
GLOBAL,PWRTRNKENXX,ELCKENXX02,2037,107.84629456322361
GLOBAL,PWRTRNKENXX,ELCKENXX02,2038,113.54801127366062
GLOBAL,PWRTRNKENXX,ELCKENXX02,2039,119.2396897504525
GLOBAL,PWRTRNKENXX,ELCKENXX02,2040,124.94140646088951
GLOBAL,PWRTRNKENXX,ELCKENXX02,2041,132.01836118071012
GLOBAL,PWRTRNKENXX,ELCKENXX02,2042,139.08527766688556
GLOBAL,PWRTRNKENXX,ELCKENXX02,2043,146.16223238670617
GLOBAL,PWRTRNKENXX,ELCKENXX02,2044,153.23918710652674
GLOBAL,PWRTRNKENXX,ELCKENXX02,2045,160.5297135183859
GLOBAL,PWRTRNKENXX,ELCKENXX02,2046,169.40264902850086
GLOBAL,PWRTRNKENXX,ELCKENXX02,2047,178.28562179598015
GLOBAL,PWRTRNKENXX,ELCKENXX02,2048,187.14359856363086
GLOBAL,PWRTRNKENXX,ELCKENXX02,2049,196.0165340737458
GLOBAL,PWRTRNKENXX,ELCKENXX02,2050,204.88946958386074
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2021,32.49693703412903
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2022,35.52693603844047
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2023,40.03304101918398
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2024,68.00790302740417
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2025,72.9247962483164
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2026,79.1645530056965
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2027,85.3943097630766
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2028,91.64
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2029,97.89
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2030,104.14
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2031,111.69
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2032,119.36290498816507
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2033,126.90147173863058
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2034,134.435073564243
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2035,141.97870878735924
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2036,150.93973900517562
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2037,159.9038532598783
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2038,168.88008585557992
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2039,177.85632508403557
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2040,186.8325576797372
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2041,197.43788158813442
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2042,208.0432121292857
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2043,218.64853603768296
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2044,229.2638599460802
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2045,239.87
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2046,253.04
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2047,266.21
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2048,279.38
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2049,292.53999999999996
GLOBAL,PWRTRNTZAXX,ELCTZAXX02,2050,305.71
GLOBAL,PWRWONKENXX01,ELCKENXX01,2021,1.96908121907482
GLOBAL,PWRWONKENXX01,ELCKENXX01,2022,1.96908121907482
GLOBAL,PWRWONKENXX01,ELCKENXX01,2023,1.9690812190748197
GLOBAL,PWRWONKENXX01,ELCKENXX01,2024,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2025,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2026,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2027,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2028,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2029,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2030,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2031,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2032,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2033,1.81671183902736
GLOBAL,PWRWONKENXX01,ELCKENXX01,2034,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2035,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2036,1.81671183902736
GLOBAL,PWRWONKENXX01,ELCKENXX01,2037,1.8167118390273596
GLOBAL,PWRWONKENXX01,ELCKENXX01,2038,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2039,1.816711839027361
GLOBAL,PWRWONKENXX01,ELCKENXX01,2040,1.8167118390273604
GLOBAL,PWRWONKENXX01,ELCKENXX01,2041,1.8167118390273598
GLOBAL,PWRWONKENXX01,ELCKENXX01,2042,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2043,1.81671183902736
GLOBAL,PWRWONKENXX01,ELCKENXX01,2044,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2045,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2046,1.8167118390273602
GLOBAL,PWRWONKENXX01,ELCKENXX01,2047,1.8167118390273602
GLOBAL,RNWBIOKENXX,BIOKENXX,2021,4.485316083840002
GLOBAL,RNWBIOKENXX,BIOKENXX,2022,4.485316083839997
