TECH,COUNTRY,YEAR,VALUE
OIL,KEN,2041,0.162
OIL,KEN,2042,0.088
OIL,TZA,2021,0.1
OIL,TZA,2022,0.1
OIL,TZA,2023,0.1
OIL,TZA,2024,0.1
OIL,TZA,2025,0.1
OIL,TZA,2026,0.1
SDS,KEN,2021,0.0006
SDS,KEN,2022,0.0006
SDS,KEN,2023,0.0006
SDS,KEN,2024,0.0006
SDS,KEN,2025,0.0006
SDS,KEN,2026,0.0006
SDS,KEN,2027,0.0006
SDS,KEN,2028,0.0006
SDS,KEN,2029,0.0006
SDS,KEN,2030,0.0006
SDS,KEN,2031,0.0006341958396752
SDS,KEN,2032,0.0006341958396752
SDS,KEN,2033,0.0006341958396752
SDS,KEN,2034,0.0006341958396752
SDS,KEN,2035,0.0006341958396752
SDS,KEN,2036,0.0006341958396752
SDS,KEN,2037,0.0006341958396752
SDS,KEN,2038,0.0006341958396752
SDS,KEN,2039,0.0006341958396752
SDS,KEN,2040,0.0006341958396752
SDS,KEN,2041,0.0006341958396752
SDS,KEN,2042,0.0006341958396752
SDS,KEN,2043,0.0006341958396752
SDS,KEN,2044,0.0006341958396752
SDS,KEN,2045,0.0006341958396752
SDS,KEN,2046,0.0006341958396752
SDS,KEN,2047,3.4195839675291734e-05
SDS,KEN,2048,3.4195839675291734e-05
SDS,KEN,2049,3.4195839675291734e-05
SDS,KEN,2050,3.4195839675291734e-05
SPV,KEN,2021,0.22
SPV,KEN,2022,0.32
SPV,KEN,2023,0.37
SPV,KEN,2024,0.37
SPV,KEN,2025,0.37
SPV,KEN,2026,2.480310963836045
SPV,KEN,2027,2.673511269302153
SPV,KEN,2028,2.866711574768264
SPV,KEN,2029,3.060365402078191
SPV,KEN,2030,3.2535657075443014
SPV,KEN,2031,5.213687116522065
SPV,KEN,2032,5.547705954493401
SPV,KEN,2033,5.881724792464739
SPV,KEN,2034,6.2157436304360765
SPV,KEN,2035,6.54908218564169
SPV,KEN,2036,9.247310395431878
SPV,KEN,2037,9.76160416632054
SPV,KEN,2038,10.276804980896832
SPV,KEN,2039,10.791098751785489
SPV,KEN,2040,11.306299566361783
SPV,KEN,2041,11.945765366143975
