REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S3D3,RNWHYDTZAXX,1,2033,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2033,1.5850827676947412
GLOBAL,S3D3,RNWSPVTZAXX,1,2033,2.2443198629312753
GLOBAL,S3D3,RNWWONKENXX,1,2033,0.10209977099999999
GLOBAL,S3D3,PWRBIOTZAXX01,1,2034,0.3105391886217417
GLOBAL,S3D3,PWRGEOKENXX01,1,2034,2.9013244051015947
GLOBAL,S3D3,PWRGEOTZAXX01,1,2034,5.373118876330185
GLOBAL,S3D3,PWRHYDKENXX01,1,2034,0.803677368146976
GLOBAL,S3D3,PWRSPVKENXX01,1,2034,1.675098455751429
GLOBAL,S3D3,PWRSPVTZAXX01,1,2034,2.377941935048073
GLOBAL,S3D3,PWRTRNKENXX,1,2034,5.482200000000001
GLOBAL,S3D3,PWRTRNTZAXX,1,2034,8.0616
GLOBAL,S3D3,PWRWONKENXX01,1,2034,0.10209977099999999
GLOBAL,S3D3,RNWBIOTZAXX,1,2034,1.0340954981103998
GLOBAL,S3D3,RNWGEOKENXX,1,2034,2.9013244051015947
GLOBAL,S3D3,RNWGEOTZAXX,1,2034,5.373118876330185
GLOBAL,S3D3,RNWHYDKENXX,1,2034,0.803677368146976
GLOBAL,S3D3,RNWSPVKENXX,1,2034,1.675098455751429
GLOBAL,S3D3,RNWSPVTZAXX,1,2034,2.377941935048073
GLOBAL,S3D3,RNWWONKENXX,1,2034,0.10209977099999999
GLOBAL,S3D3,PWRGEOKENXX01,1,2035,3.1054920483851456
GLOBAL,S3D3,PWRGEOTZAXX01,1,2035,5.612441390973191
GLOBAL,S3D3,PWRHYDKENXX01,1,2035,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2035,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2035,1.7649308124678784
GLOBAL,S3D3,PWRSPVTZAXX01,1,2035,2.511740990041847
GLOBAL,S3D3,PWRTRNKENXX,1,2035,5.7762
GLOBAL,S3D3,PWRTRNTZAXX,1,2035,8.5152
GLOBAL,S3D3,PWRWONKENXX01,1,2035,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2035,3.1054920483851456
GLOBAL,S3D3,RNWGEOTZAXX,1,2035,5.612441390973191
GLOBAL,S3D3,RNWHYDKENXX,1,2035,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2035,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2035,1.7649308124678784
GLOBAL,S3D3,RNWSPVTZAXX,1,2035,2.511740990041847
GLOBAL,S3D3,RNWWONKENXX,1,2035,0.10209977099999999
GLOBAL,S3D3,PWRGEOKENXX01,1,2036,2.720252842555871
GLOBAL,S3D3,PWRGEOTZAXX01,1,2036,5.102086896260109
GLOBAL,S3D3,PWRHYDKENXX01,1,2036,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2036,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2036,2.4920840182971524
GLOBAL,S3D3,PWRSPVTZAXX01,1,2036,3.5608954847549303
GLOBAL,S3D3,PWRTRNKENXX,1,2036,6.117
GLOBAL,S3D3,PWRTRNTZAXX,1,2036,9.054
