REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2039,S1D3,108.5492700729927
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2039,S1D1,119.40419708029196
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2039,S1D2,130.25912408759123
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2039,S2D3,105.93944790739091
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2039,S2D1,116.53339269813002
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2039,S2D2,127.12733748886912
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2039,S3D3,106.79533213644524
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2039,S3D1,128.1543985637343
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2039,S3D2,138.83393177737884
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2040,S1D3,113.73175182481752
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2040,S1D1,125.10492700729924
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2040,S1D2,136.47810218978103
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2040,S2D3,110.9973285841496
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2040,S2D1,122.09706144256457
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2040,S2D2,133.19679430097952
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2040,S3D3,111.89407540394971
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2040,S3D1,134.2728904847397
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2040,S3D2,145.46229802513466
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2041,S1D3,120.16423357664232
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2041,S1D1,132.18065693430657
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2041,S1D2,144.1970802919708
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2041,S2D3,117.27515583259128
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2041,S2D1,129.0026714158504
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2041,S2D2,140.73018699910952
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2041,S3D3,118.2226211849192
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2041,S3D1,141.86714542190305
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2041,S3D2,153.68940754039497
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2042,S1D3,126.59671532846716
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2042,S1D1,139.25638686131387
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2042,S1D2,151.91605839416056
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2042,S2D3,123.55298308103296
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2042,S2D1,135.90828138913625
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2042,S2D2,148.26357969723952
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2042,S3D3,124.5511669658887
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2042,S3D1,149.4614003590664
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2042,S3D2,161.91651705565533
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2043,S1D3,133.02007299270073
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2043,S1D1,146.3220802919708
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2043,S1D2,159.62408759124088
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2043,S2D3,129.8219056099733
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2043,S2D1,142.8040961709706
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2043,S2D2,155.78628673196795
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2043,S3D3,130.87073608617595
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2043,S3D1,157.04488330341115
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2043,S3D2,170.13195691202873
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2044,S1D3,139.45255474452554
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2044,S1D1,153.3978102189781
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2044,S1D2,167.34306569343067
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2044,S2D3,136.09973285841497
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2044,S2D1,149.70970614425647
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2044,S2D2,163.31967943009798
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2044,S3D3,137.19928186714543
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2044,S3D1,164.6391382405745
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2044,S3D2,178.35906642728904
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2045,S1D3,145.88503649635038
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2045,S1D1,160.4735401459854
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2045,S1D2,175.06204379562044
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2045,S2D3,142.37756010685663
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2045,S2D1,156.6153161175423
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2045,S2D2,170.85307212822798
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2045,S3D3,143.5278276481149
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2045,S3D1,172.2333931777379
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2045,S3D2,186.58617594254932
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2046,S1D3,153.9507299270073
